comparison_id	left_gene_set	right_gene_set	gene_symbol	status
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	SCAF1	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	SCN2A	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	SETD1A	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	SP4	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	STAG1	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	TRIO	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	XPO7	shared
schema_phase2_2026-04-23_bonferroni__vs__schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-04-23_bonferroni	schema_phase2_2026-05-07_bonferroni	ZMYM2	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	ATP1A1	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	ATP9A	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	CHRM4	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	CUL1	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	FYN	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	HDAC9	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	HERC1	shared
schema_phase2_2026-05-07_bonferroni__vs__schema_phase2_2026-05-26_bonferroni	schema_phase2_2026-05-07_bonferroni	schema_phase2_2026-05-26_bonferroni	JARID2	shared
