bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
PCSK1,,,,,,WDR45,,,,,,,,,,ADAMTSL4,IGF2BP2,SCUBE3,,ABCD1,ACADM,APBB1,CASKIN1,ARF1,AHDC1,ANKRD11,AGO4,CELF4,SETD1A,,ACTB,AGBL4,ANP32A,ADA,ADARB1,AFF3,ABCC9,ACACA,,RB1CC1,CRAMP1,RB1CC1,CRAMP1,RB1CC1,CRAMP1,RB1CC1,CRAMP1,RB1CC1,CRAMP1,RB1CC1,CRAMP1,ACTB,ANP32A,ADCY5,ASB11,ALDH5A1
PDE3B,,,,,,,,,,,,,,,,ADCY6,LCORL,,,ABCD4,ACADS,ARID1B,CHD2,ARHGAP35,AKT3,AP2S1,AHDC1,CHD2,SLC6A1,,ACTL6B,AGO3,AP2S1,ADCY3,ADAT3,AGO1,ABCD1,ACAD9,,SCAF1,CSDE1,SCAF1,CSDE1,SCAF1,CUL1,SCAF1,CUL1,SCAF1,CUL1,SCAF1,CUL1,ACTN4,AP2S1,ADK,ASB9,ALG6
ROBO1,,,,,,,,,,,,,,,,AEBP1,NF1,,,ABHD16A,ACADVL,ASH1L,CHD8,ARID1A,ALDH18A1,AP3B2,AKT3,CHD8,SP4,,ACTN4,AGO4,ARF3,ADCY5,ADD1,AIMP1,ABCD4,ACADM,,SCN2A,CUL1,SCN2A,CUL1,SCN2A,DAGLA,SCN2A,DAGLA,SCN2A,DAGLA,SCN2A,DAGLA,ADA,ARF3,ADORA2A,ATP2B1,ANKRD11
SPARC,,,,,,,,,,,,,,,,AMD1,NRK,,,ABHD5,ACAN,ASXL3,CTCF,ARID1B,ANK3,ARF1,ALDH18A1,CORO1A,STAG1,,ACY1,AHNAK,ARHGEF9,ADK,ADGRG1,AKT3,ABCG5,ACADS,,SETD1A,DAGLA,SETD1A,DAGLA,SETD1A,DLGAP3,SETD1A,DLGAP3,SETD1A,DLGAP3,SETD1A,DLGAP3,ADCY1,ARHGEF9,ADORA3,ATP9A,ANKRD17
UBR2,,,,,,,,,,,,,,,,ANAPC1,SCUBE3,,,ABL1,ACAT1,ATG13,CTNNB1,ARID2,ANKRD11,ARHGAP35,AMH,CREBBP,TRIO,,ADA,AKAP9,ARID1B,ADNP,ADGRL1,ALDH5A1,ABHD12,ACBD6,,SP4,DLGAP3,SP4,DLGAP3,SP4,FYN,SP4,FYN,SP4,FYN,SP4,FYN,ADCY3,ARID1B,ADRB2,ATXN2,ANKS1B
UHMK1,,,,,,,,,,,,,,,,ANGPTL2,TET1,,,ACAD9,ACBD5,ATG9B,CUL3,ASH1L,ANKRD12,ARID1A,AMIGO1,CTNNB1,XPO7,,ADCY1,ALG6,ARX,ADORA2A,ADGRV1,ALDH7A1,ABHD16A,ACER3,,STAG1,ENO2,STAG1,ENO2,STAG1,HCN4,STAG1,HCN4,STAG1,HCN4,STAG1,HCN4,ADCY5,ARX,ADSS2,BACE1,AP1S2
,,,,,,,,,,,,,,,,ANKRD11,ZFAT,,,ACADM,ACBD6,ATP1A3,DEAF1,ASXL1,AP1G1,ARID1B,ANK2,DEAF1,ZMYND11,,ADCY3,AMT,ASH1L,ADORA3,ADPRHL2,ALG1,ABHD5,ACO2,,TRIO,FYN,TRIO,FYN,TRIO,HDAC9,TRIO,HDAC9,TRIO,HDAC9,TRIO,HDAC9,ADGRB1,ASH1L,AGAP1,BAIAP2L1,ARHGEF9
,,,,,,,,,,,,,,,,ANTXR1,,,,ACADS,ACER3,ATP2B2,DLG4,ASXL2,AP2S1,ARID2,ANK3,DIP2A,ZNF136,,ADCY5,ANXA1,ASXL3,ADRB2,ADRA2B,ALG11,ABI2,ACOX1,,XPO7,HCN4,XPO7,HCN4,XPO7,HERC1,XPO7,HERC1,XPO7,HERC1,XPO7,HERC1,ADGRL1,ASTN1,AGAP2,BCL11B,ARID1A
,,,,,,,,,,,,,,,,APOB,,,,ACADVL,ACO2,ATP4A,DLL1,ASXL3,AP3B2,ARIH1,ANKH,DNMT3A,,,ADGRB1,AP2M1,ATRX,ADSL,ADSL,ALG13,ACACA,ACSL4,,ZMYM2,HDAC9,ZMYM2,HDAC9,ZMYM2,IQSEC1,ZMYM2,IQSEC1,ZMYM2,IQSEC1,ZMYM2,IQSEC1,ADK,ASXL3,AGBL4,BPTF,ARID1B
,,,,,,,,,,,,,,,,ARPC1B,,,,ACAN,ACOX1,AUTS2,DNMT3A,ATP1A2,ARCN1,ASH1L,ANKRD11,DPYSL2,,,ADGRL1,APBA2,AUTS2,ADSS2,AFF3,ALG14,ACAD9,ACTB,,,HERC1,,HERC1,,JARID2,,JARID2,,JARID2,,JARID2,ADNP,ATRX,AGMO,BRINP3,ARID2
