bmi_exomewide_16,bmi_exomewide_negative,bmi_exomewide_positive,epi25_dee_damaging_missense_bonferroni,epi25_dee_damaging_missense_fdr05,epi25_dee_ptv_bonferroni,epi25_dee_ptv_fdr05,epi25_epi_damaging_missense_bonferroni,epi25_epi_damaging_missense_fdr05,epi25_epi_ptv_bonferroni,epi25_epi_ptv_fdr05,epi25_gge_damaging_missense_bonferroni,epi25_gge_damaging_missense_fdr05,epi25_gge_ptv_fdr05,epi25_nafe_ptv_bonferroni,epi25_nafe_ptv_fdr05,height_207_gene_p,height_singleton_plof,height_singleton_plof_negative,height_singleton_plof_positive,legacy_ddg2p_all,legacy_ddg2p_confident,legacy_fu_asd185,legacy_fu_asd72,legacy_fu_dd309,legacy_fu_dd477,legacy_fu_ndd373,legacy_fu_ndd664,legacy_satterstrom102,legacy_schema_fdr05,legacy_schema_sig,legacy_sfari_all,legacy_sfari_hc,legacy_sfari_score1,legacy_sfari_score12,panelapp_epilepsy_all,panelapp_epilepsy_green,panelapp_intellectual_disability_all,panelapp_intellectual_disability_green,schema_2022_exomewide_10,schema_phase2_2026-04-23_bonferroni,schema_phase2_2026-04-23_fdr05,schema_phase2_2026-05-07_bonferroni,schema_phase2_2026-05-07_fdr05,schema_phase2_2026-05-26_bonferroni,schema_phase2_2026-05-26_fdr05,schema_phase2_2026-07-15_bonferroni,schema_phase2_2026-07-15_fdr05,schema_phase2_2026-08-07_bonferroni,schema_phase2_2026-08-07_fdr05,schema_phase2_2026-08-21_bonferroni,schema_phase2_2026-08-21_fdr05,sfari_all_scored,sfari_score_1,sfari_score_2,sfari_score_3,sfari_syndromic
,,,,,,,,,,,,,,,,,,,,CDH3,COX6B1,,,,RAI1,TLK2,MAFB,,,,DYDC2,,,GNB1L,GLUL,MAST4,C2CD3,CYC1,,,,,,,,,,,,,,ELP4,,KDM5A,,
,,,,,,,,,,,,,,,,,,,,CDK10,COX7B,,,,RALA,TNPO3,MAGEL2,,,,DYNC1H1,,,GPC4,GLYCTK,MBD5,C2ORF69,CYFIP2,,,,,,,,,,,,,,EMSY,,KDM6A,,
,,,,,,,,,,,,,,,,,,,,CDK13,CPAMD8,,,,RAP1B,TNRC6B,MAP2,,,,DYRK1A,,,GPC6,GM2A,MBOAT7,C2ORF71,D2HGDH,,,,,,,,,,,,,,EN2,,KHDRBS2,,
,,,,,,,,,,,,,,,,,,,,CDK16,CPAP,,,,RARB,TOP2B,MAP2K1,,,,EBF3,,,GPD2,GNAO1,MDH2,C3ORF58,DAG1,,,,,,,,,,,,,,ENOX2,,KIAA1586,,
,,,,,,,,,,,,,,,,,,,,CDK19,CPLANE1,,,,RBBP4,TRAF7,MAP3K7,,,,ECPAS,,,GPHN,GNAQ,MECP2,C4ORF26,DAGLA,,,,,,,,,,,,,,ENPP1,,KIF13B,,
,,,,,,,,,,,,,,,,,,,,CDK5RAP2,CPS1,,,,RFX3,TRIM8,MAP4K4,,,,EEF1A2,,,GPR37,GNB1,MED11,C5ORF42,DARS,,,,,,,,,,,,,,EP300,,KIF14,,
,,,,,,,,,,,,,,,,,,,,CDK8,CRB1,,,,RFX7,TRIO,MAPK8IP3,,,,EFR3A,,,GPR85,GNB2,MED12,C8ORF37,DARS2,,,,,,,,,,,,,,EP400,,KIF1A,,
,,,,,,,,,,,,,,,,,,,,CDKL5,CRB2,,,,RHOBTB2,TRIP12,MARK2,,,,EGR3,,,GPX1,GNB5,MED27,C9ORF72,DBT,,,,,,,,,,,,,,EPC2,,KIF5C,,
,,,,,,,,,,,,,,,,,,,,CDKN1C,CREBBP,,,,RIT1,TRPM3,MAX,,,,EHMT1,,,GRIA1,GOSR2,MEF2C,CA2,DCAF17,,,,,,,,,,,,,,EPHA1,,KIRREL3,,
,,,,,,,,,,,,,,,,,,,,CDO1,CRPPA,,,,RMND5A,TRRAP,MBD5,,,,EIF3F,,,GRIA2,GOT2,MFF,CA5A,DCHS1,,,,,,,,,,,,,,EPHB1,,KLF16,,
,,,,,,,,,,,,,,,,,,,,CDON,CRX,,,,RORA,TSC1,MCOLN1,,,,EIF3G,,,GRID1,GPAA1,MFSD8,CA8,DCPS,,,,,,,,,,,,,,EPHB2,,KRR1,,
,,,,,,,,,,,,,,,,,,,,CDT1,CRYAB,,,,RORB,U2AF2,MED13,,,,EIF4E,,,GRID2,GPHN,MINPP1,CACNA1A,DCX,,,,,,,,,,,,,,EPPK1,,KRT26,,
,,,,,,,,,,,,,,,,,,,,CELF2,CRYBA1,,,,RPL10A,UBE3A,MED13L,,,,EIF4G1,,,GRID2IP,GRIA2,MLC1,CACNA1B,DDB1,,,,,,,,,,,,,,ERBIN,,LAMA1,,
,,,,,,,,,,,,,,,,,,,,CELF4,CRYBA4,,,,RPL19,UBR5,MED23,,,,EIF5A,,,GRIK2,GRIA4,MMACHC,CACNA1C,DDC,,,,,,,,,,,,,,ERG,,LAMB1,,
,,,,,,,,,,,,,,,,,,,,CELSR1,CRYBB2,,,,RYR2,UBTF,MED24,,,,ELAVL2,,,GRIK3,GRIK2,MMADHC,CACNA1D,DDHD2,,,,,,,,,,,,,,ERMN,,LEMD3,,
,,,,,,,,,,,,,,,,,,,,CELSR3,CRYBB3,,,,SALL3,UPF1,MEF2C,,,,ELAVL3,,,GRIK4,GRIN1,MOCS1,CACNA1E,DDX11,,,,,,,,,,,,,,ESR2,,LEO1,,
,,,,,,,,,,,,,,,,,,,,CENPF,CRYGC,,,,SATB1,USP7,MEIS2,,,,ELOVL2,,,GRIK5,GRIN2A,MOCS2,CACNA1F,DDX17,,,,,,,,,,,,,,ESRRB,,LEP,,
,,,,,,,,,,,,,,,,,,,,CEP104,CRYGD,,,,SATB2,VAMP2,METTL2A,,,,ELP2,,,GRIN1,GRIN2B,MOGS,CACNA1G,DDX23,,,,,,,,,,,,,,ETFB,,LHX2,,
,,,,,,,,,,,,,,,,,,,,CEP135,CSNK2A1,,,,SCN1A,VCP,MFN2,,,,ELP4,,,GRIN2A,GRIN2D,MPDU1,CACNA1H,DDX39B,,,,,,,,,,,,,,EXOC3,,LILRB2,,
,,,,,,,,,,,,,,,,,,,,CEP152,CSNK2B,,,,SCN2A,VEZF1,MIB1,,,,EMSY,,,GRIN2B,GRM7,MT-TK,CACNA1I,DDX3X,,,,,,,,,,,,,,EXOC5,,LIN7B,,
,,,,,,,,,,,,,,,,,,,,CEP290,CSPP1,,,,SCN3A,WAC,MIP,,,,EN2,,,GRIP1,GRN,MTHFR,CACNA1S,DDX59,,,,,,,,,,,,,,EXOC6,,LMX1B,,
,,,,,,,,,,,,,,,,,,,,CEP41,CSTB,,,,SCN4A,WDR26,MKL1,,,,ENOX2,,,GRK4,GSS,MTHFS,CACNA2D1,DDX6,,,,,,,,,,,,,,EXOC6B,,LRBA,,
,,,,,,,,,,,,,,,,,,,,CEP57,CTC1,,,,SCN8A,WDR48,MKX,,,,ENPP1,,,GRM5,GTF3C3,MTOR,CACNA2D2,DEAF1,,,,,,,,,,,,,,EXT1,,LRFN2,,
,,,,,,,,,,,,,,,,,,,,CEP63,CTCF,,,,SCUBE3,WHSC1,MLXIP,,,,EP300,,,GRM7,GTPBP1,NACC1,CACNA2D3,DEGS1,,,,,,,,,,,,,,FABP4,,LRFN5,,
,,,,,,,,,,,,,,,,,,,,CEP83,CTNNA2,,,,SEC16A,XPO1,MN1,,,,EP400,,,GSTM1,GTPBP2,NAGA,CACNB4,DENND5B,,,,,,,,,,,,,,FABP5,,LRP1,,
,,,,,,,,,,,,,,,,,,,,CEP85L,CTNNB1,,,,SEMA6B,YWHAG,MORC2,,,,EPC2,,,GTF2I,GTPBP3,NAPB,CACNG2,DEPDC5,,,,,,,,,,,,,,FAM47A,,LRP2,,
,,,,,,,,,,,,,,,,,,,,CERT1,CTNND1,,,,SET,YY1,MRFAP1,,,,EPHA1,,,GUCY1A2,GUF1,NARS,CAD,DHCR24,,,,,,,,,,,,,,FAM53C,,LRRC1,,
,,,,,,,,,,,,,,,,,,,,CFAP298,CTNND2,,,,SETBP1,ZBTB10,MSANTD2,,,,EPHB1,,,H2BC11,H3F3A,NARS2,CAMK2A,DHCR7,,,,,,,,,,,,,,FAM98C,,LRRC4,,
,,,,,,,,,,,,,,,,,,,,CFAP300,CTNS,,,,SETD1A,ZBTB18,MSI1,,,,EPHB2,,,HDAC4,H3F3B,NBEA,CAMK2B,DHDDS,,,,,,,,,,,,,,FAN1,,LZTS2,,
,,,,,,,,,,,,,,,,,,,,CFAP410,CTSA,,,,SETD1B,ZBTB20,MSL2,,,,EPPK1,,,HDLBP,HACE1,NDE1,CAMK2D,DHFR,,,,,,,,,,,,,,FAT1,,MACROD2,,
,,,,,,,,,,,,,,,,,,,,CFAP418,CTSD,,,,SETD2,ZBTB7A,MTOR,,,,ERBIN,,,HECTD4,HAX1,NDUFA1,CAMK2G,DHPS,,,,,,,,,,,,,,FBN1,,MAOA,,
,,,,,,,,,,,,,,,,,,,,CFC1,CTSK,,,,SETD5,ZEB2,MYCN,,,,ERG,,,HECW2,HCCS,NDUFA10,CAMK4,DHRSX,,,,,,,,,,,,,,FBXL13,,MAOB,,
,,,,,,,,,,,,,,,,,,,,CFL2,CUL3,,,,SF3B2,ZFHX3,MYH3,,,,ERMN,,,HERC1,HCFC1,NDUFAF2,CAMSAP1,DHTKD1,,,,,,,,,,,,,,FBXO11,,MAP1B,,
,,,,,,,,,,,,,,,,,,,,CHAMP1,CUL7,,,,SF3B3,ZFHX4,MYO18A,,,,ESR2,,,HIVEP2,HCN1,NDUFAF5,CAMTA1,DHX30,,,,,,,,,,,,,,FBXO33,,MAP4K4,,
,,,,,,,,,,,,,,,,,,,,CHD1,CUX2,,,,SHANK2,ZMIZ1,MYRF,,,,ESRRB,,,HIVEP3,HCN2,NDUFS4,CANT1,DHX37,,,,,,,,,,,,,,FBXO40,,MAPK3,,
,,,,,,,,,,,,,,,,,,,,CHD2,CYB5R3,,,,SHANK3,ZMYM2,MYT1L,,,,ETFB,,,HLA-A,HEATR5B,NDUFS8,CAP1,DHX9,,,,,,,,,,,,,,FCRL6,,MAPK8IP3,,
,,,,,,,,,,,,,,,,,,,,CHD3,CYP27A1,,,,SHH,ZMYND11,NAA15,,,,EXOC3,,,HLA-B,HECTD4,NDUFV1,CAPN10,DIAPH1,,,,,,,,,,,,,,FEZF2,,MAPT-AS1,,
,,,,,,,,,,,,,,,,,,,,CHD4,CYP2U1,,,,SHOC2,ZMYND8,NAA25,,,,EXOC5,,,HLA-DPB1,HECW2,NEDD4L,CAPN15,DIS3L2,,,,,,,,,,,,,,FGA,,MARK1,,
,,,,,,,,,,,,,,,,,,,,CHD5,DAG1,,,,SIN3A,ZNF148,NACA,,,,EXOC6,,,HLA-DRB1,HEPACAM,NEUROD2,CAPRIN1,DKC1,,,,,,,,,,,,,,FGF13,,MARK2,,
,,,,,,,,,,,,,,,,,,,,CHD7,DARS1,,,,SKI,ZNF292,NACC1,,,,EXOC6B,,,HLA-G,HERC2,NEXMIF,CAPZA2,DLD,,,,,,,,,,,,,,FGF14,,MBD1,,
,,,,,,,,,,,,,,,,,,,,CHD8,DARS2,,,,SLC2A1,ZNF462,NALCN,,,,EXT1,,,HMGN1,HEXA,NGLY1,CARS,DLG3,,,,,,,,,,,,,,FGFR1,,MBD3,,
,,,,,,,,,,,,,,,,,,,,CHKA,DBT,,,,SLC39A8,ZNF865,NAMPT,,,,FABP4,,,HNRNPD,HEXB,NHLRC1,CARS2,DLG4,,,,,,,,,,,,,,FHIT,,MBD4,,
,,,,,,,,,,,,,,,,,,,,CHM,DCDC2,,,,SLC6A1,,NARS,,,,FABP5,,,HNRNPF,HID1,NOTCH3,CASK,DLL1,,,,,,,,,,,,,,FLNA,,MBD6,,
,,,,,,,,,,,,,,,,,,,,CHMP1A,DCHS1,,,,SLC9A1,,NAV3,,,,FAM47A,,,HNRNPH2,HLCS,NPRL2,CASP2,DMD,,,,,,,,,,,,,,FMR1,,MCM4,,
,,,,,,,,,,,,,,,,,,,,CHRDL1,DCX,,,,SMAD4,,NCKAP1,,,,FAM98C,,,HNRNPK,HMGCL,NPRL3,CASR,DMXL2,,,,,,,,,,,,,,FOXG1,,MCM6,,
,,,,,,,,,,,,,,,,,,,,CHRM1,DDB1,,,,SMAD6,,NCL,,,,FAN1,,,HNRNPR,HNRNPH2,NR4A2,CBL,DNAJC12,,,,,,,,,,,,,,FOXP1,,MCPH1,,
,,,,,,,,,,,,,,,,,,,,CHRNA1,DDC,,,,SMARCA2,,NEDD8,,,,FAT1,,,HNRNPU,HNRNPR,NRROS,CBS,DNAJC19,,,,,,,,,,,,,,FOXP2,,MDGA2,,
,,,,,,,,,,,,,,,,,,,,CHRNA2,DDHD1,,,,SMARCA4,,NEO1,,,,FBN1,,,HNRNPUL2,HNRNPU,NRXN1,CC2D1A,DNM1,,,,,,,,,,,,,,FRG1,,MED12L,,
,,,,,,,,,,,,,,,,,,,,CHRNA3,DDHD2,,,,SMARCB1,,NF1,,,,FBRSL1,,,HOMER1,HOXA1,NSD1,CC2D2A,DNM1L,,,,,,,,,,,,,,FRK,,MED23,,
,,,,,,,,,,,,,,,,,,,,CHRNA4,DDOST,,,,SMARCE1,,NFIA,,,,FBXL13,,,HRAS,HPDL,NSDHL,CCBE1,DNMT3A,,,,,,,,,,,,,,FRMD5,,MEGF10,,
,,,,,,,,,,,,,,,,,,,,CHRNB1,DDR2,,,,SMC3,,NFIB,,,,FBXO11,,,HS3ST5,HPRT1,NSRP1,CCDC103,DNMT3B,,,,,,,,,,,,,,FRRS1L,,MEGF11,,
,,,,,,,,,,,,,,,,,,,,CHRNB2,DDX11,,,,SNAP25,,NFIX,,,,FBXO33,,,HSD11B1,HRAS,NTRK2,CCDC114,DOCK3,,,,,,,,,,,,,,FRYL,,MEMO1,,
,,,,,,,,,,,,,,,,,,,,CHRNG,DDX3X,,,,SOGA1,,NIPBL,,,,FBXO40,,,HTR1B,HSD17B10,NUP214,CCDC115,DOCK4,,,,,,,,,,,,,,FXN,,MET,,
,,,,,,,,,,,,,,,,,,,,CHST14,DDX59,,,,SON,,NKX2-1,,,,FCRL6,,,HTR3A,HSD17B4,NUS1,CCDC174,DOCK6,,,,,,,,,,,,,,G3BP2,,METTL26,,
,,,,,,,,,,,,,,,,,,,,CHST3,DDX6,,,,SOS1,,NLGN2,,,,FEZF2,,,HYDIN,HSPD1,OCLN,CCDC186,DOCK7,,,,,,,,,,,,,,GABBR2,,MFRP,,
,,,,,,,,,,,,,,,,,,,,CHSY1,DEAF1,,,,SOX10,,NOTCH1,,,,FGA,,,ICA1,HTRA2,OGDHL,CCDC22,DOHH,,,,,,,,,,,,,,GABRA2,,MIB1,,
,,,,,,,,,,,,,,,,,,,,CHUK,DENND5A,,,,SOX11,,NOTCH2,,,,FGF13,,,IL1R2,IDH2,OPHN1,CCDC32,DOLK,,,,,,,,,,,,,,GABRA4,,MIR137,,
,,,,,,,,,,,,,,,,,,,,CIAO1,DEPDC5,,,,SOX2,,NPR1,,,,FGF14,,,IL1RAPL1,IER3IP1,OTUD6B,CCDC39,DPAGT1,,,,,,,,,,,,,,GABRB2,,MLANA,,
,,,,,,,,,,,,,,,,,,,,CIB2,DHCR24,,,,SOX4,,NPTN,,,,FGFR1,,,IL1RAPL2,IFIH1,OTUD7A,CCDC40,DPF2,,,,,,,,,,,,,,GABRB3,,MNT,,
,,,,,,,,,,,,,,,,,,,,CIC,DHCR7,,,,SOX5,,NR3C2,,,,FHIT,,,ILF2,IKBKG,OXR1,CCDC47,DPH1,,,,,,,,,,,,,,GABRG2,,MRTFB,,
,,,,,,,,,,,,,,,,,,,,CISD2,DHDDS,,,,SOX9,,NR4A2,,,,FLNA,,,IMMP2L,INO80,P4HTM,CCDC65,DPH5,,,,,,,,,,,,,,GABRG3,,MSANTD2,,
,,,,,,,,,,,,,,,,,,,,CIT,DHFR,,,,SPAST,,NRXN1,,,,FMR1,,,INPP1,INPP4A,PABPC1,CCDC78,DPM1,,,,,,,,,,,,,,GALNT10,,MSNP1AS,,
,,,,,,,,,,,,,,,,,,,,CKAP2L,DHODH,,,,SPEN,,NRXN3,,,,FOXG1,,,INTS6,IQSEC2,PACS1,CCDC8,DPM2,,,,,,,,,,,,,,GALNT13,,MSR1,,
,,,,,,,,,,,,,,,,,,,,CLCN3,DHPS,,,,SPI1,,NSD1,,,,FOXP1,,,IQGAP3,IRF2BPL,PACS2,CCDC82,DPYD,,,,,,,,,,,,,,GALNT14,,MTF1,,
,,,,,,,,,,,,,,,,,,,,CLCN4,DHTKD1,,,,SPOP,,NTRK2,,,,FOXP2,,,IQSEC2,ISPD,PAFAH1B1,CCDC88A,DPYS,,,,,,,,,,,,,,GALNT8,,MTHFR,,
,,,,,,,,,,,,,,,,,,,,CLCN6,DHX30,,,,SPTAN1,,OBSCN,,,,FRG1,,,IRF2BPL,ITPA,PAH,CCDC88C,DPYSL5,,,,,,,,,,,,,,GAS2,,MUC12,,
,,,,,,,,,,,,,,,,,,,,CLCN7,DIS3L2,,,,SPTBN1,,ODC1,,,,FRK,,,ITGB3,JAKMIP1,PAK1,CCNA2,DTYMK,,,,,,,,,,,,,,GBE1,,MUC4,,
,,,,,,,,,,,,,,,,,,,,CLCNKA,DKC1,,,,SPTBN2,,OTUD7A,,,,FRMD5,,,ITPR1,JKAMP,PARS2,CCNB3,DYM,,,,,,,,,,,,,,GDA,,MYH10,,
,,,,,,,,,,,,,,,,,,,,CLCNKB,DLAT,,,,SRCAP,,OTX2,,,,FRMPD4,,,ITSN1,KARS,PCCA,CCND2,DYNC1H1,,,,,,,,,,,,,,GFAP,,MYH4,,
,,,,,,,,,,,,,,,,,,,,CLDN19,DLD,,,,SRP54,,PACS1,,,,FRRS1L,,,JARID2,KAT5,PCCB,CCNK,DYRK1A,,,,,,,,,,,,,,GGNBP2,,MYH9,,
,,,,,,,,,,,,,,,,,,,,CLDN5,DLG3,,,,SRRM2,,PACS2,,,,FRYL,,,JMJD1C,KAT8,PCDH12,CCNO,EARS2,,,,,,,,,,,,,,GIGYF1,,MYO16,,
,,,,,,,,,,,,,,,,,,,,CLDND1,DLG4,,,,SRSF1,,PAFAH1B1,,,,FXN,,,KANK1,KATNB1,PCDH19,CCT3,EBF3,,,,,,,,,,,,,,GIGYF2,,MYO1E,,
,,,,,,,,,,,,,,,,,,,,CLIC2,DLL3,,,,STAG1,,PAK1,,,,G3BP2,,,KANSL1,KCNA1,PCDHGC4,CCT5,EBP,,,,,,,,,,,,,,GLI3,,MYO5A,,
,,,,,,,,,,,,,,,,,,,,CLMP,DLL4,,,,STAT1,,PAPOLA,,,,GABBR2,,,KAT2B,KCNA2,PCYT2,CCT6A,EDEM3,,,,,,,,,,,,,,GLIS1,,MYO5C,,
,,,,,,,,,,,,,,,,,,,,CLN3,DMD,,,,STX1B,,PAPOLG,,,,GABRA2,,,KAT6A,KCNA3,PDHA1,CCT7,EED,,,,,,,,,,,,,,GLO1,,MYO9B,,
,,,,,,,,,,,,,,,,,,,,CLN5,DMP1,,,,STXBP1,,PAX2,,,,GABRA3,,,KATNAL1,KCNB1,PDHX,CCT8,EEF1A2,,,,,,,,,,,,,,GLRA2,,NAALADL2,,
,,,,,,,,,,,,,,,,,,,,CLN6,DMPK,,,,SUPT16H,,PAX5,,,,GABRA4,,,KATNAL2,KCNB2,PET100,CD96,EEF1D,,,,,,,,,,,,,,GLS,,NAV2,,
,,,,,,,,,,,,,,,,,,,,CLN8,DNAAF11,,,,SUV420H1,,PBX1,,,,GABRB2,,,KCNB1,KCNC1,PGM2L1,CD99,EEFSEC,,,,,,,,,,,,,,GNAI1,,NAV3,,
,,,,,,,,,,,,,,,,,,,,CLP1,DNAAF19,,,,SYNCRIP,,PBX3,,,,GABRB3,,,KCNC1,KCNC2,PHACTR1,CDC40,EFTUD2,,,,,,,,,,,,,,GNAS,,NCKAP5,,
,,,,,,,,,,,,,,,,,,,,CLPB,DNAAF3,,,,SYNGAP1,,PCBP2,,,,GABRG2,,,KCND2,KCND2,PHGDH,CDC42,EHMT1,,,,,,,,,,,,,,GNB1L,,NCOR1,,
,,,,,,,,,,,,,,,,,,,,CLPP,DNAAF4,,,,SYT1,,PCSK2,,,,GABRG3,,,KCND3,KCND3,PI4K2A,CDC42BPB,EIF2AK2,,,,,,,,,,,,,,GPC4,,NDUFA5,,
,,,,,,,,,,,,,,,,,,,,CLTC,DNAAF5,,,,TAB2,,PDE10A,,,,GALNT10,,,KCNJ10,KCNH1,PIDD1,CDC45,EIF2AK3,,,,,,,,,,,,,,GPC5,,NEGR1,,
,,,,,,,,,,,,,,,,,,,,CNKSR1,DNAAF6,,,,TANC2,,PDE4D,,,,GALNT13,,,KCNJ15,KCNH5,PIGA,CDC6,EIF2S3,,,,,,,,,,,,,,GPC6,,NEO1,,
,,,,,,,,,,,,,,,,,,,,CNKSR2,DNAH5,,,,TAOK1,,PHF12,,,,GALNT14,,,KCNK7,KCNH8,PIGB,CDH11,EIF3F,,,,,,,,,,,,,,GPD2,,NFE2L3,,
,,,,,,,,,,,,,,,,,,,,CNNM2,DNAH9,,,,TBL1XR1,,PHF2,,,,GALNT2,,,KCNMA1,KCNJ10,PIGC,CDH15,EIF4A2,,,,,,,,,,,,,,GPHN,,NFIA,,
,,,,,,,,,,,,,,,,,,,,CNOT1,DNM1L,,,,TBR1,,PHF21A,,,,GALNT8,,,KCNQ2,KCNJ11,PIGG,CDH2,EIF4A3,,,,,,,,,,,,,,GPR37,,NFIB,,
,,,,,,,,,,,,,,,,,,,,CNOT2,DNMT3A,,,,TBX3,,PHIP,,,,GAS2,,,KCNQ3,KCNJ4,PIGH,CDH23,EIF5A,,,,,,,,,,,,,,GPR85,,NINL,,
,,,,,,,,,,,,,,,,,,,,CNOT3,DNMT3B,,,,TCF12,,PHLDB1,,,,GATM,,,KCNS3,KCNK4,PIGK,CDH3,ELAC2,,,,,,,,,,,,,,GPX1,,NIPA1,,
,,,,,,,,,,,,,,,,,,,,CNOT9,DOCK2,,,,TCF20,,PIK3CA,,,,GBE1,,,KCTD13,KCNMA1,PIGM,CDK10,ELFN1,,,,,,,,,,,,,,GRB10,,NIPA2,,
,,,,,,,,,,,,,,,,,,,,CNPY3,DOCK6,,,,TCF3,,PIK3R1,,,,GDA,,,KDM1B,KCNQ2,PIGN,CDK13,ELOVL4,,,,,,,,,,,,,,GRIA1,,NLGN1,,
,,,,,,,,,,,,,,,,,,,,CNTNAP1,DOCK8,,,,TCF4,,PIK3R2,,,,GFAP,,,KDM2B,KCNQ3,PIGO,CDK16,ELP2,,,,,,,,,,,,,,GRIA2,,NLGN4Y,,
,,,,,,,,,,,,,,,,,,,,CNTNAP2,DOLK,,,,TCF7L2,,PIP5K1C,,,,GGNBP2,,,KDM3B,KCNQ5,PIGP,CDK19,EMC1,,,,,,,,,,,,,,GRID1,,NOTCH1,,
,,,,,,,,,,,,,,,,,,,,COA5,DPAGT1,,,,TERF2IP,,PISD,,,,GIGYF1,,,KDM4B,KCNT1,PIGQ,CDK20,EMC10,,,,,,,,,,,,,,GRID2,,NPAS2,,
,,,,,,,,,,,,,,,,,,,,COA8,DPF2,,,,TLK2,,PLXNA1,,,,GIGYF2,,,KDM4C,KCNT2,PIGT,CDK5R1,EML1,,,,,,,,,,,,,,GRID2IP,,NR1D1,,
,,,,,,,,,,,,,,,,,,,,COASY,DPM1,,,,TMEM63B,,PLXNA2,,,,GLI3,,,KDM5A,KCTD3,PIGU,CDK5RAP2,ENTPD1,,,,,,,,,,,,,,GRIK2,,NR2F1,,
,,,,,,,,,,,,,,,,,,,,COG1,DPM3,,,,TNFRSF21,,POGZ,,,,GLIS1,,,KDM5B,KCTD7,PIGW,CDK8,EP300,,,,,,,,,,,,,,GRIK3,,NRCAM,,
,,,,,,,,,,,,,,,,,,,,COG4,DPYSL5,,,,TNNC2,,POLR3B,,,,GLO1,,,KDM5C,KDM2A,PIK3R2,CDK9,EPB41L3,,,,,,,,,,,,,,GRIK4,,NRP2,,
,,,,,,,,,,,,,,,,,,,,COG5,DRC1,,,,TNPO2,,POU3F3,,,,GLRA2,,,KDM6A,KDM6B,PIP5K1C,CDKL5,EPG5,,,,,,,,,,,,,,GRIK5,,NSD2,,
,,,,,,,,,,,,,,,,,,,,COG7,DRC2,,,,TNPO3,,PPARG,,,,GNAI1,,,KDM6B,KIAA1109,PLA2G6,CDKN1C,ERBB4,,,,,,,,,,,,,,GRIN1,,NSMCE3,,
,,,,,,,,,,,,,,,,,,,,COG8,DRC4,,,,TNRC6B,,PPFIA2,,,,GNAS,,,KHDRBS2,KIF1A,PLAA,CDON,ERCC1,,,,,,,,,,,,,,GRIN2A,,NTNG1,,
,,,,,,,,,,,,,,,,,,,,COL10A1,DSPP,,,,TOP2B,,PPM1D,,,,GNB1L,,,KIAA0232,KIF1BP,PLCB1,CDT1,ERCC2,,,,,,,,,,,,,,GRIN2B,,NTRK1,,
,,,,,,,,,,,,,,,,,,,,COL11A1,DSTYK,,,,TP53BP2,,PPP1CB,,,,GNB2,,,KIAA1586,KIF2A,PLK1,CELF2,ERCC3,,,,,,,,,,,,,,GRIP1,,NTRK3,,
,,,,,,,,,,,,,,,,,,,,COL11A2,DVL1,,,,TRAF7,,PPP1R9B,,,,GPC4,,,KIF13B,KIF5C,PLPBP,CELF4,ERCC5,,,,,,,,,,,,,,GRK4,,NUAK1,,
,,,,,,,,,,,,,,,,,,,,COL13A1,DVL3,,,,TRIM8,,PPP2CA,,,,GPC5,,,KIF14,KLHL20,PLXNA1,CELSR3,ERCC6,,,,,,,,,,,,,,GRM5,,NUDCD2,,
,,,,,,,,,,,,,,,,,,,,COL18A1,DYM,,,,TRIO,,PPP2R1A,,,,GPC6,,,KIF1A,KMT2E,PMM2,CENPF,ERCC6L2,,,,,,,,,,,,,,GRM7,,NUP133,,
,,,,,,,,,,,,,,,,,,,,COL1A1,DYNC1H1,,,,TRIP12,,PPP2R5D,,,,GPD2,,,KIF5C,KMT5B,PMPCB,CENPJ,ERCC8,,,,,,,,,,,,,,GSE1,,NXPH1,,
,,,,,,,,,,,,,,,,,,,,COL25A1,DYNC1I2,,,,TRPM3,,PPP3CA,,,,GPHN,,,KIRREL3,KPTN,PNKP,CEP104,ERI1,,,,,,,,,,,,,,GSPT2,,OFD1,,
,,,,,,,,,,,,,,,,,,,,COL27A1,DYNC2H1,,,,TRRAP,,PRDM16,,,,GPR37,,,KLF16,KRAS,PNPLA8,CEP120,ERLIN2,,,,,,,,,,,,,,GSTM1,,OPHN1,,
,,,,,,,,,,,,,,,,,,,,COL2A1,DYNC2I1,,,,TSC2,,PRH1,,,,GPR85,,,KLHL20,LAMC3,PNPO,CEP135,ESAM,,,,,,,,,,,,,,GTF2I,,OR1C1,,
,,,,,,,,,,,,,,,,,,,,COL4A1,DYNC2I2,,,,TTBK1,,PRKAR1A,,,,GPX1,,,KMT2A,LARGE1,PNPT1,CEP152,ESCO2,,,,,,,,,,,,,,GUCY1A2,,OR2M4,,
,,,,,,,,,,,,,,,,,,,,COL4A2,DYNC2LI1,,,,U2AF2,,PRKAR1B,,,,GRB10,,,KMT2C,LARS,POLG,CEP290,ETFA,,,,,,,,,,,,,,H2BC11,,OR2T10,,
,,,,,,,,,,,,,,,,,,,,COL4A3,DYRK1A,,,,UBA2,,PRKCB,,,,GRIA1,,,KMT2E,LETM1,POMGNT1,CEP295,ETFB,,,,,,,,,,,,,,H3-3B,,OR52M1,,
,,,,,,,,,,,,,,,,,,,,COL4A4,EBP,,,,UBE3A,,PRKCE,,,,GRIA2,,,KMT5B,LGI1,POMT1,CEP41,ETFDH,,,,,,,,,,,,,,HACE1,,OTUD7A,,
