gene_set_id,phenotype,gene_count,definition,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,catalog_release
legacy_fu_dd309,Developmental delay,309,Fu TADA-DD FDR <= 0.001,fu_2022_legacy,Fu et al. TADA results used by the legacy pipeline,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9653013/,2026-08-29,.,2026-08-29
legacy_fu_dd477,Developmental delay,477,Fu TADA-DD FDR <= 0.05,fu_2022_legacy,Fu et al. TADA results used by the legacy pipeline,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9653013/,2026-08-29,.,2026-08-29
legacy_fu_ndd373,Neurodevelopmental disorder,373,Fu TADA-NDD FDR <= 0.001,fu_2022_legacy,Fu et al. TADA results used by the legacy pipeline,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9653013/,2026-08-29,.,2026-08-29
legacy_fu_ndd664,Neurodevelopmental disorder,664,Fu TADA-NDD FDR <= 0.05,fu_2022_legacy,Fu et al. TADA results used by the legacy pipeline,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9653013/,2026-08-29,.,2026-08-29
legacy_satterstrom102,ASD,102,Satterstrom et al. 102 ASD genes,satterstrom_2020_legacy,Satterstrom et al. ASD-102 used by the legacy pipeline,2020,https://doi.org/10.1016/j.cell.2019.12.036,2026-08-29,.,2026-08-29
legacy_schema_fdr05,Schizophrenia,18,Exact legacy SCHEMA significant plus FDR<5% list,schema_2022_legacy,SCHEMA lists used by the legacy pipeline,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9805802/,2026-08-29,.,2026-08-29
legacy_schema_sig,Schizophrenia,10,Exact legacy SCHEMA exome-wide list,schema_2022_legacy,SCHEMA lists used by the legacy pipeline,2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9805802/,2026-08-29,.,2026-08-29
legacy_sfari_all,ASD,1267,Exact legacy SFARI all-gene list,sfari_2026_01_legacy,SFARI export used by the legacy pipeline,retrieved 2026-01-15,https://gene.sfari.org/tools/,2026-08-29,.,2026-08-29
legacy_sfari_hc,ASD,315,Exact legacy SFARI high-confidence list,sfari_2026_01_legacy,SFARI export used by the legacy pipeline,retrieved 2026-01-15,https://gene.sfari.org/tools/,2026-08-29,.,2026-08-29
legacy_sfari_score1,ASD,244,Exact legacy SFARI score-1 list,sfari_2026_01_legacy,SFARI export used by the legacy pipeline,retrieved 2026-01-15,https://gene.sfari.org/tools/,2026-08-29,.,2026-08-29
