catalog_release,gene_set_id,gene_set_size,phenotype,definition,gene_symbol,ensembl_gene_id,evidence,effect_direction,effect_beta,p_value,source_id,source_title,source_release,source_url,source_retrieved_date,source_usage_note,membership_notes
2026-08-29,bmi_exomewide_negative,6,BMI,Exome-wide BMI genes with negative beta,GPR75,.,exome-wide,negative,-0.34,2.6 × 10 −8,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
2026-08-29,bmi_exomewide_negative,6,BMI,Exome-wide BMI genes with negative beta,KIAA0586,.,exome-wide,negative,-0.04,3.1 × 10 −7,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF plus missense (5/5); AAF < 1%
2026-08-29,bmi_exomewide_negative,6,BMI,Exome-wide BMI genes with negative beta,UHMK1,.,exome-wide,negative,-0.06,4.9 × 10 −8,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF plus missense (5/5); AAF < 1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,ANKRD27,.,exome-wide,positive,0.04,5.9 × 10 −9,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF plus missense ( 1/5); AAF < 1 %
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,ANO4,.,exome-wide,positive,0.29,1.1 × 10 −9,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,CALCR,.,exome-wide,positive,0.09,1.4 × 10 −13,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF plus missense (1/5); AAF < 0.1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,KIAA1109,.,exome-wide,positive,0.13,5.1 × 10 −8,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,MC4R,.,exome-wide,positive,0.3,4.0 × 10 −48,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF plus missense (5/5); AAF < 1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,PCSK1,.,exome-wide,positive,0.33,1.0 × 10 −8,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
2026-08-29,bmi_exomewide_positive,10,BMI,Exome-wide BMI genes with positive beta,PDE3B,.,exome-wide,positive,0.12,1.7 × 10 −7,bmi_exome_2021,Exome-wide BMI burden associations,2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC10275396/,2026-08-29,.,pLOF; AAF < 1%
